数据名称,类型,coverage_steps,coverage_time,search_probability,search_time,search_steps
n15_p0.6,SmallWorld,1,0.001868128776550293,0.21748855043135584,0.01119375228881836,7.3
n20_p0.1,SmallWorld,1,0.0019063472747802735,0.13954232677228356,0.01266932487487793,7.02
n20_p0.3,SmallWorld,1,0.0016759634017944336,0.1416302058013288,0.01183772087097168,7.73
n20_p0.6,SmallWorld,1,0.0020150184631347657,0.0673352435530086,0.011728525161743164,6.32
n25_p0.1,SmallWorld,1,0.0018994569778442382,0.23207234747165967,0.013181447982788086,6.28
n25_p0.3,SmallWorld,1,0.0020177602767944337,0.1585835257890685,0.01186990737915039,6.28
n25_p0.6,SmallWorld,1,0.0018373966217041016,0.10830232259720261,0.013712644577026367,8.64
n30_p0.1,SmallWorld,1,0.002038860321044922,0.08163700309069594,0.01209568977355957,7.74
n30_p0.3,SmallWorld,1,0.0017612218856811524,0.11622713738834539,0.01208639144897461,9.46
n30_p0.6,SmallWorld,1,0.0020105600357055663,0.13419589392643286,0.013858318328857422,10.32
n35_p0.1,SmallWorld,1,0.0025871753692626952,0.11658785012731902,0.016121387481689453,8.36
n35_p0.3,SmallWorld,1,0.0030643224716186525,0.24107142857142858,0.0193173885345459,7.43
n35_p0.6,SmallWorld,1,0.0027054548263549805,0.13745201974044965,0.016867399215698242,11.15
height3_glues2,GluedTree,2,0.004344630241394043,0.09590207557211283,0.01230001449584961,7.74
height3_glues4,GluedTree,1,0.0018459081649780274,0.2589314279620348,0.013728141784667969,9.46
height4_glues2,GluedTree,3,0.007772707939147949,0.04652120214079868,0.01682877540588379,12.37
height4_glues4,GluedTree,2,0.005225682258605957,0.11632947976878613,0.01735687255859375,14.84
height5_glues2,GluedTree,3,0.04876067638397217,0.031691213814118845,0.08120226860046387,17.63
height5_glues4,GluedTree,3,0.04507403373718262,0.046478587375685,0.07686424255371094,15.87
dim3_perturb0.0,Hypercube,1,0.0018190622329711914,0.5141,0.011923551559448242,5.33
dim3_perturb0.1,Hypercube,1,0.001715850830078125,0.5177,0.009885787963867188,5.33
dim4_perturb0.0,Hypercube,1,0.0016723155975341796,0.4123,0.014272212982177734,6.28
dim4_perturb0.1,Hypercube,1,0.0017570257186889648,0.4108,0.008247613906860352,5.65
dim5_perturb0.0,Hypercube,1,0.0020357608795166016,0.2763,0.011829614639282227,10.66
dim5_perturb0.1,Hypercube,1,0.001819443702697754,0.1758,0.010889768600463867,10.66
dim6_perturb0.0,Hypercube,1,0.0027362346649169923,0.1686,0.020832061767578125,15.08
dim6_perturb0.1,Hypercube,1,0.003022503852844238,0.133,0.020173072814941406,13.82
